Symbol,Name,Keyword
HBT,"HBT Financial, Inc.",HBT Financial
HCA,"HCA Healthcare, Inc.",HCA Healthcare
HCAC,Hennessy Capital Acquisition Corp. IV,Hennessy Capital Acquisition  IV
HCACU,Hennessy Capital Acquisition Corp. IV,Hennessy Capital Acquisition  IV
HCACW,Hennessy Capital Acquisition Corp. IV,Hennessy Capital Acquisition  IV
HCAP,Harvest Capital Credit Corporation,Harvest Capital Credit 
HCAPZ,Harvest Capital Credit Corporation,Harvest Capital Credit 
HCAT,"Health Catalyst, Inc",Health Catalyst
HCC,"Warrior Met Coal, Inc.",Warrior Met Coal
HCCH,HL Acquisitions Corp.,HL Acquisitions
HCCHR,HL Acquisitions Corp.,HL Acquisitions
HCCHU,HL Acquisitions Corp.,HL Acquisitions
HCCHW,HL Acquisitions Corp.,HL Acquisitions
HCCI,"Heritage-Crystal Clean, Inc.",Heritage-Crystal Clean
HCCO,Healthcare Merger Corp.,Healthcare Merger
HCCOU,Healthcare Merger Corp.,Healthcare Merger
HCCOW,Healthcare Merger Corp.,Healthcare Merger
HCDI,"Harbor Custom Development, Inc.",Harbor Custom Development
HCFT,"Hunt Companies Finance Trust, Inc.",Hunt Companies Finance Trust
HCHC,"HC2 Holdings, Inc.",HC2
HCI,"HCI Group, Inc.",HCI
HCKT,"The Hackett Group, Inc.",The Hackett
HCM,Hutchison China MediTech Limited,Hutchison China MediTech
HCSG,"Healthcare Services Group, Inc.",Healthcare Services
HCXY,"Hercules Capital, Inc.",Hercules Capital
HCXZ,"Hercules Capital, Inc.",Hercules Capital
HD,"Home Depot, Inc. (The)",Home Depot
HDB,HDFC Bank Limited,HDFC Bank
HDS,"HD Supply Holdings, Inc.",HD Supply
HDSN,"Hudson Technologies, Inc.",Hudson Technologies
HE,"Hawaiian Electric Industries, Inc.",Hawaiian Electric Industries
HEAR,Turtle Beach Corporation,Turtle Beach 
HEBT,"Hebron Technology Co., Ltd.",Hebron Technology
HEC,Hudson Executive Investment Corp.,Hudson Executive Investment
HECCU,Hudson Executive Investment Corp.,Hudson Executive Investment
HECCW,Hudson Executive Investment Corp.,Hudson Executive Investment
HEES,"H&E Equipment Services, Inc.",H&E Equipment Services
HEI,Heico Corporation,Heico 
HEI-A,Heico Corporation,Heico 
HELE,Helen of Troy Limited,Helen of Troy
HEP,"Holly Energy Partners, L.P.",Holly Energy Partners
HEPA,"Hepion Pharmaceuticals, Inc.",Hepion Pharmaceuticals
HEQ,John Hancock Hedged Equity & Income Fund,John Hancock Hedged Equity & Income Fund
HERD,Pacer Cash Cows Fund of Funds ETF,Pacer Cash Cows Fund of Funds ETF
HERO,Global X Video Games & Esports ETF,Global X Video Games & Esports ETF
HES,Hess Corporation,Hess 
HESM,Hess Midstream LP,Hess Midstream
HEWG,iShares Currency Hedged MSCI Germany ETF,iShares Currency Hedged MSCI Germany ETF
HEXO,HEXO Corp.,HEXO
HFBL,"Home Federal Bancorp, Inc. of Louisiana",Home Federal Bancorp Louisiana
HFC,HollyFrontier Corporation,HollyFrontier 
HFEN,HF Enterprises Inc.,HF Enterprises
HFFG,HF Foods Group Inc.,HF Foods
HFRO,Highland Income Fund,Highland Income Fund
HFRO-A,Highland Income Fund,Highland Income Fund
HFWA,Heritage Financial Corporation,Heritage Financial 
HGBL,Heritage Global Inc.,Heritage Global
HGH,"Hartford Financial Services Group, Inc. (The)",Hartford Financial Services
HGLB,Highland Global Allocation Fund,Highland Global Allocation Fund
HGSH,"China HGS Real Estate, Inc.",China HGS Real Estate
HGV,Hilton Grand Vacations Inc.,Hilton Grand Vacations
HHC,Howard Hughes Corporation (The),Howard Hughes 
HHR,HeadHunter Group PLC,HeadHunter
HHT,Color Star Technology Co. Ltd.,Color Star Technology
HI,Hillenbrand Inc,Hillenbrand
HIBB,"Hibbett Sports, Inc.",Hibbett Sports
HIE,Miller/Howard High Income Equity Fund,Miller/Howard High Income Equity Fund
HIFS,Hingham Institution for Savings,Hingham Institution for Savings
HIG,"Hartford Financial Services Group, Inc. (The)",Hartford Financial Services
HIG-G,"Hartford Financial Services Group, Inc. (The)",Hartford Financial Services
HIHO,Highway Holdings Limited,Highway
HII,"Huntington Ingalls Industries, Inc.",Huntington Ingalls Industries
HIL,"Hill International, Inc.",Hill International
HIMX,"Himax Technologies, Inc.",Himax Technologies
HIO,"Western Asset High Income Opportunity Fund, Inc.",Western Asset High Income Opportunity Fund
HIW,"Highwoods Properties, Inc.",Highwoods Properties
HIX,Western Asset High Income Fund II Inc.,Western Asset High Income Fund II
HJLI,"Hancock Jaffe Laboratories, Inc.",Hancock Jaffe Laboratories
HJLIW,"Hancock Jaffe Laboratories, Inc.",Hancock Jaffe Laboratories
HKIB,AMTD International Inc.,AMTD International
HKIT,Hitek Global Inc.,Hitek Global
HL,Hecla Mining Company,Hecla Mining
HL-B,Hecla Mining Company,Hecla Mining
HLAL,Wahed FTSE USA Shariah ETF,Wahed FTSE USA Shariah ETF
HLF,Herbalife Nutrition Ltd.,Herbalife Nutrition
HLG,Hailiang Education Group Inc.,Hailiang Education
HLI,"Houlihan Lokey, Inc.",Houlihan Lokey
HLIO,"Helios Technologies, Inc.",Helios Technologies
HLIT,Harmonic Inc.,Harmonic
HLNE,Hamilton Lane Incorporated,Hamilton Lane
HLT,Hilton Worldwide Holdings Inc.,Hilton Worldwide
HLX,"Helix Energy Solutions Group, Inc.",Helix Energy Solutions
HMC,"Honda Motor Company, Ltd.",Honda Motor
HMHC,Houghton Mifflin Harcourt Company,Houghton Mifflin Harcourt
HMI,Huami Corporation,Huami 
HMLP,Hoegh LNG Partners LP,Hoegh LNG Partners
HMLP-A,Hoegh LNG Partners LP,Hoegh LNG Partners
HMN,Horace Mann Educators Corporation,Horace Mann Educators 
HMNF,"HMN Financial, Inc.",HMN Financial
HMST,"HomeStreet, Inc.",HomeStreet
HMSY,HMS Holdings Corp,HMS Corp
HMTV,"Hemisphere Media Group, Inc.",Hemisphere Media
HMY,Harmony Gold Mining Company Limited,Harmony Gold Mining
HNDL,Strategy Shares Nasdaq 7HANDL Index ETF,Strategy Shares Nasdaq 7HANDL Index ETF
HNGR,"Hanger, Inc.",Hanger
HNI,HNI Corporation,HNI 
HNNA,"Hennessy Advisors, Inc.",Hennessy Advisors
HNP,"Huaneng Power International, Inc.",Huaneng Power International
HNRG,Hallador Energy Company,Hallador Energy
HOFT,Hooker Furniture Corporation,Hooker Furniture 
HOFV,Hall of Fame Resort &amp; Entertainment Company,Hall of Fame Resort &amp; Entertainment
HOFVW,Hall of Fame Resort &amp; Entertainment Company,Hall of Fame Resort &amp; Entertainment
HOG,"Harley-Davidson, Inc.",Harley-Davidson
HOLI,"Hollysys Automation Technologies, Ltd.",Hollysys Automation Technologies
HOLUU,Holicity Inc.,Holicity
HOLX,"Hologic, Inc.",Hologic
HOMB,"Home BancShares, Inc.",Home BancShares
HOME,At Home Group Inc.,At Home
HON,Honeywell International Inc.,Honeywell International
HONE,"HarborOne Bancorp, Inc.",HarborOne Bancorp
HOOK,HOOKIPA Pharma Inc.,HOOKIPA Pharma
HOPE,"Hope Bancorp, Inc.",Hope Bancorp
HOTH,"Hoth Therapeutics, Inc.",Hoth Therapeutics
HOV,Hovnanian Enterprises Inc,Hovnanian Enterprises
HOVNP,Hovnanian Enterprises Inc,Hovnanian Enterprises
HP,"Helmerich & Payne, Inc.",Helmerich & Payne
HPE,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise
HPF,John Hancock Pfd Income Fund II,John Hancock Pfd Income Fund II
HPI,John Hancock Preferred Income Fund,John Hancock Preferred Income Fund
HPK,"HighPeak Energy, Inc.",HighPeak Energy
HPKEW,"HighPeak Energy, Inc.",HighPeak Energy
HPP,"Hudson Pacific Properties, Inc.",Hudson Pacific Properties
HPQ,HP Inc.,HP
HPR,HighPoint Resources Corporation,HighPoint Resources 
HPS,John Hancock Preferred Income Fund III,John Hancock Preferred Income Fund III
HPX,HPX Corp.,HPX
HPX-U,HPX Corp.,HPX
HPX-WS,HPX Corp.,HPX
HQH,Tekla Healthcare Investors,Tekla Healthcare Investors
HQI,"HireQuest, Inc.",HireQuest
HQL,Tekla Life Sciences Investors,Tekla Life Sciences Investors
HQY,"HealthEquity, Inc.",HealthEquity
HR,Healthcare Realty Trust Incorporated,Healthcare Realty Trust
HRB,"H&R Block, Inc.",H&R Block
HRC,Hill-Rom Holdings Inc,Hill-Rom Inc
HRI,Herc Holdings Inc.,Herc
HRL,Hormel Foods Corporation,Hormel Foods 
HRMY,"Harmony Biosciences Holdings, Inc.",Harmony Biosciences
HROW,"Harrow Health, Inc.",Harrow Health
HRTG,"Heritage Insurance Holdings, Inc.",Heritage Insurance
HRTX,"Heron Therapeutics, Inc.  ",Heron Therapeutics
HRZN,Horizon Technology Finance Corporation,Horizon Technology Finance 
HSAQ,Health Sciences Acquisitions Corporation 2,Health Sciences Acquisitions
HSBC,HSBC Holdings plc,HSBC
HSBC-A,HSBC Holdings plc,HSBC
HSC,Harsco Corporation,Harsco 
HSDT,"Helius Medical Technologies, Inc.",Helius Medical Technologies
HSIC,"Henry Schein, Inc.",Henry Schein
HSII,"Heidrick & Struggles International, Inc.",Heidrick & Struggles International
HSKA,Heska Corporation,Heska 
HSON,"Hudson Global, Inc.",Hudson Global
HST,"Host Hotels & Resorts, Inc.",Host Hotels & Resorts
HSTM,"HealthStream, Inc.",HealthStream
HSTO,Histogen Inc.,Histogen
HSY,Hershey Company (The),Hershey
HT,Hersha Hospitality Trust,Hersha Hospitality Trust
HT-C,Hersha Hospitality Trust,Hersha Hospitality Trust
HT-D,Hersha Hospitality Trust,Hersha Hospitality Trust
HT-E,Hersha Hospitality Trust,Hersha Hospitality Trust
HTA,"Healthcare Trust of America, Inc.",Healthcare Trust of America
HTBI,"HomeTrust Bancshares, Inc.",HomeTrust Bancshares
HTBK,Heritage Commerce Corp,Heritage Commerce Corp
HTBX,"Heat Biologics, Inc.",Heat Biologics
HTD,John Hancock Tax Advantaged Dividend Income Fund,John Hancock Tax Advantaged Dividend Income Fund
HTFA,Horizon Technology Finance Corporation,Horizon Technology Finance 
HTGC,"Hercules Capital, Inc.",Hercules Capital
HTGM,"HTG Molecular Diagnostics, Inc.",HTG Molecular Diagnostics
HTH,Hilltop Holdings Inc.,Hilltop
HTHT,Huazhu Group Limited,Huazhu
HTIA,"Healthcare Trust, Inc.",Healthcare Trust
HTLD,"Heartland Express, Inc.",Heartland Express
HTLF,"Heartland Financial USA, Inc.",Heartland Financial USA
HTLFP,"Heartland Financial USA, Inc.",Heartland Financial USA
HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,John Hancock Tax-Advantaged Global Shareholder Yield Fund
HTZ,"Hertz Global Holdings, Inc",Hertz Global
HUBB,Hubbell Inc,Hubbell
HUBG,"Hub Group, Inc.",Hub
HUBS,"HubSpot, Inc.",HubSpot
HUD,Hudson Ltd.,Hudson
HUGE,FSD Pharma Inc.,FSD Pharma
HUIZ,Huize Holding Limited,Huize
HUM,Humana Inc.,Humana
HUN,Huntsman Corporation,Huntsman 
HURC,"Hurco Companies, Inc.",Hurco Companies
HURN,Huron Consulting Group Inc.,Huron Consulting
HUSN,Hudson Capital Inc.,Hudson Capital
HUYA,HUYA Inc.,HUYA
HVBC,"HV Bancorp, Inc.",HV Bancorp
HVT,"Haverty Furniture Companies, Inc.",Haverty Furniture Companies
HVT-A,"Haverty Furniture Companies, Inc.",Haverty Furniture Companies
HWBK,"Hawthorn Bancshares, Inc.",Hawthorn Bancshares
HWC,Hancock Whitney Corporation,Hancock Whitney 
HWCC,Houston Wire & Cable Company,Houston Wire & Cable
HWCPL,Hancock Whitney Corporation,Hancock Whitney 
HWCPZ,Hancock Whitney Corporation,Hancock Whitney 
HWKN,"Hawkins, Inc.",Hawkins
HWM,Howmet Aerospace Inc.,Howmet Aerospace
HX,Hexindai Inc.,Hexindai
HXL,Hexcel Corporation,Hexcel 
HY,"Hyster-Yale Materials Handling, Inc.",Hyster-Yale Materials Handling
HYAC,Haymaker Acquisition Corp. II,Haymaker Acquisition  II
HYACU,Haymaker Acquisition Corp. II,Haymaker Acquisition  II
HYACW,Haymaker Acquisition Corp. II,Haymaker Acquisition  II
HYB,"New America High Income Fund, Inc. (The)",New America High Income Fund
HYI,Western Asset High Yield Defined Opportunity Fund Inc.,Western Asset High Yield Defined Opportunity Fund
HYLS,First Trust High Yield Long/Short ETF,First Trust High Yield Long/Short ETF
HYMC,Hycroft Mining Holding Corporation,Hycroft Mining 
HYMCW,Hycroft Mining Holding Corporation,Hycroft Mining 
HYMCZ,Hycroft Mining Holding Corporation,Hycroft Mining 
HYRE,HyreCar Inc.,HyreCar
HYT,"Blackrock Corporate High Yield Fund, Inc.",Blackrock Corporate High Yield Fund
HYXE,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund,WisdomTree Interest Rate Hedged High Yield Bond Fund
HZAC-U,Horizon Acquisition Corporation,Horizon Acquisition 
HZN,Horizon Global Corporation,Horizon Global 
HZNP,Horizon Therapeutics Public Limited Company,Horizon Therapeutics Public 
HZO,"MarineMax, Inc.",MarineMax
IAA,"IAA, Inc.",IAA
IAC,IAC/InterActiveCorp,IAC/InterActiveCorp
IAE,Voya Asia Pacific High Dividend Equity Income Fund,Voya Asia Pacific High Dividend Equity Income Fund
IAG,Iamgold Corporation,Iamgold 
IART,Integra LifeSciences Holdings Corporation,Integra LifeSciences 
IBA,"Industrias Bachoco, S.A. de C.V.",Industrias Bachoco
IBB,iShares Nasdaq Biotechnology Index Fund,iShares Nasdaq Biotechnology Index Fund
IBBJ,Defiance Nasdaq Junior Biotechnology ETF,Defiance Nasdaq Junior Biotechnology ETF
IBCP,Independent Bank Corporation,Independent Bank 
IBEX,IBEX Limited,IBEX
IBKR,"Interactive Brokers Group, Inc.",Interactive Brokers
IBM,International Business Machines Corporation,International Business Machines 
IBN,ICICI Bank Limited,ICICI Bank
IBOC,International Bancshares Corporation,International Bancshares 
IBP,"Installed Building Products, Inc.",Installed Building Products
IBTA,iShares iBonds Dec 2021 Term Treasury ETF,iShares iBonds Dec 2021 Term Treasury ETF
IBTB,iShares iBonds Dec 2022 Term Treasury ETF,iShares iBonds Dec 2022 Term Treasury ETF
IBTD,iShares iBonds Dec 2023 Term Treasury ETF,iShares iBonds Dec 2023 Term Treasury ETF
IBTE,iShares iBonds Dec 2024 Term Treasury ETF,iShares iBonds Dec 2024 Term Treasury ETF
IBTF,iShares iBonds Dec 2025 Term Treasury ETF,iShares iBonds Dec 2025 Term Treasury ETF
IBTG,iShares iBonds Dec 2026 Term Treasury ETF,iShares iBonds Dec 2026 Term Treasury ETF
IBTH,iShares iBonds Dec 2027 Term Treasury ETF,iShares iBonds Dec 2027 Term Treasury ETF
IBTI,iShares iBonds Dec 2028 Term Treasury ETF,iShares iBonds Dec 2028 Term Treasury ETF
IBTJ,iShares iBonds Dec 2029 Term Treasury ETF,iShares iBonds Dec 2029 Term Treasury ETF
IBTK,iShares iBonds Dec 2030 Term Treasury ETF,iShares iBonds Dec 2030 Term Treasury ETF
IBTX,"Independent Bank Group, Inc",Independent Bank
IBUY,Amplify Online Retail ETF,Amplify Online Retail ETF
ICAD,icad inc.,icad
ICBK,"County Bancorp, Inc.",County Bancorp
ICCC,ImmuCell Corporation,ImmuCell 
ICCH,"ICC Holdings, Inc.",ICC
ICD,"Independence Contract Drilling, Inc.",Independence Contract Drilling
ICE,Intercontinental Exchange Inc.,Intercontinental Exchange
ICFI,"ICF International, Inc.",ICF International
ICHR,Ichor Holdings,Ichor
ICL,ICL Group Ltd.,ICL
ICLK,iClick Interactive Asia Group Limited,iClick Interactive Asia
ICLN,iShares S&P Global Clean Energy Index Fund,iShares S&P Global Clean Energy Index Fund
ICLR,ICON plc,ICON
ICMB,"Investcorp Credit Management BDC, Inc.",Investcorp Credit Management BDC
ICON,"Iconix Brand Group, Inc.",Iconix Brand
ICPT,"Intercept Pharmaceuticals, Inc.",Intercept Pharmaceuticals
ICUI,"ICU Medical, Inc.",ICU Medical
IDA,"IDACORP, Inc.",IDACORP
IDCC,"InterDigital, Inc.",InterDigital
IDE,Voya Infrastructure Industrials and Materials Fund,Voya Infrastructure Industrials and Materials Fund
IDEX,"Ideanomics, Inc.",Ideanomics
IDLB,Invesco FTSE International Low Beta Equal Weight ETF,Invesco FTSE International Low Beta Equal Weight ETF
IDN,"Intellicheck, Inc.",Intellicheck
IDRA,"Idera Pharmaceuticals, Inc.",Idera Pharmaceuticals
IDT,IDT Corporation,IDT 
IDXG,"Interpace Biosciences, Inc.",Interpace Biosciences
IDXX,"IDEXX Laboratories, Inc.",IDEXX Laboratories
IDYA,"IDEAYA Biosciences, Inc.",IDEAYA Biosciences
IEA,"Infrastructure and Energy Alternatives, Inc.",Infrastructure and Energy Alternatives
IEAWW,"Infrastructure and Energy Alternatives, Inc.",Infrastructure and Energy Alternatives
IEC,IEC Electronics Corp.,IEC Electronics
IEF,iShares 7-10 Year Treasury Bond ETF,iShares 7-10 Year Treasury Bond ETF
IEI,iShares 3-7 Year Treasury Bond ETF,iShares 3-7 Year Treasury Bond ETF
IEP,Icahn Enterprises L.P.,Icahn Enterprises
IESC,"IES Holdings, Inc.",IES
IEUS,iShares MSCI Europe Small-Cap ETF,iShares MSCI Europe Small-Cap ETF
IEX,IDEX Corporation,IDEX 
IFF,"International Flavors & Fragrances, Inc.",International Flavors & Fragrances
IFFT,"International Flavors & Fragrances, Inc.",International Flavors & Fragrances
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund
IFMK,iFresh Inc.,iFresh
IFN,"India Fund, Inc. (The)",India Fund
IFRX,InflaRx N.V.,InflaRx
IFS,Intercorp Financial Services Inc.,Intercorp Financial Services
IFV,First Trust Dorsey Wright International Focus 5 ETF,First Trust Dorsey Wright International Focus 5 ETF
IGA,Voya Global Advantage and Premium Opportunity Fund,Voya Global Advantage and Premium Opportunity Fund
IGD,Voya Global Equity Dividend and Premium Opportunity Fund,Voya Global Equity Dividend and Premium Opportunity Fund
IGF,iShares Global Infrastructure ETF,iShares Global Infrastructure ETF
IGI,Western Asset Investment Grade Defined Opportunity Trust Inc.,Western Asset Investment Grade Defined Opportunity Trust
IGIB,iShares Intermediate-Term Corporate Bond ETF,iShares Intermediate-Term Corporate Bond ETF
IGIC,International General Insurance Holdings Ltd.,International General Insurance
IGICW,International General Insurance Holdings Ltd.,International General Insurance
IGLE,Eagleline Acquisition Corp.,Eagleline Acquisition
IGMS,"IGM Biosciences, Inc.",IGM Biosciences
IGOV,iShares International Treasury Bond ETF,iShares International Treasury Bond ETF
IGR,CBRE Clarion Global Real Estate Income Fund,CBRE Clarion Global Real Estate Income Fund
IGSB,iShares Short-Term Corporate Bond ETF,iShares Short-Term Corporate Bond ETF
IGT,International Game Technology,International Game Technology
IHC,Independence Holding Company,Independence
IHD,Voya Emerging Markets High Income Dividend Equity Fund,Voya Emerging Markets High Income Dividend Equity Fund
IHG,Intercontinental Hotels Group,Intercontinental Hotels
IHIT,Invesco High Income 2023 Target Term Fund,Invesco High Income 2023 Target Term Fund
IHRT,"iHeartMedia, Inc.",iHeartMedia
IHTA,Invesco High Income 2024 Target Term Fund,Invesco High Income 2024 Target Term Fund
IID,Voya International High Dividend Equity Income Fund,Voya International High Dividend Equity Income Fund
IIF,"Morgan Stanley India Investment Fund, Inc.",Morgan Stanley India Investment Fund
III,"Information Services Group, Inc.",Information Services
IIIN,"Insteel Industries, Inc.",Insteel Industries
IIIV,"i3 Verticals, Inc.",i3 Verticals
IIM,Invesco Value Municipal Income Trust,Invesco Value Municipal Income Trust
IIN,IntriCon Corporation,IntriCon 
IIPR,"Innovative Industrial Properties, Inc.",Innovative Industrial Properties
IIPR-A,"Innovative Industrial Properties, Inc.",Innovative Industrial Properties
IIVI,II-VI Incorporated,II-VI
IIVIP,II-VI Incorporated,II-VI
IJT,iShares S&P Small-Cap 600 Growth ETF,iShares S&P Small-Cap 600 Growth ETF
IKNX,Ikonics Corporation,Ikonics 
ILMN,"Illumina, Inc.",Illumina
ILPT,Industrial Logistics Properties Trust,Industrial Logistics Properties Trust
IMAB,I-MAB,I-MAB
IMAC,"IMAC Holdings, Inc.",IMAC
IMACW,"IMAC Holdings, Inc.",IMAC
IMAX,Imax Corporation,Imax 
IMBI,"iMedia Brands, Inc.",iMedia Brands
IMGN,"ImmunoGen, Inc.",ImmunoGen
IMKTA,"Ingles Markets, Incorporated",Ingles Markets
IMMP,Immutep Limited,Immutep
IMMR,Immersion Corporation,Immersion 
IMMU,"Immunomedics, Inc.",Immunomedics
IMOS,ChipMOS TECHNOLOGIES INC.,ChipMOS TECHNOLOGIES
IMRA,IMARA Inc.,IMARA
IMRN,Immuron Limited,Immuron
IMRNW,Immuron Limited,Immuron
IMTE,Integrated Media Technology Limited,Integrated Media Technology
IMTX,Immatics N.V.,Immatics
IMTXW,Immatics N.V.,Immatics
IMUX,"Immunic, Inc. ",Immunic
IMV,IMV Inc.,IMV
IMVT,"Immunovant, Inc. ",Immunovant
IMXI,"International Money Express, Inc.",International Money Express
INAQU,INSU Acquisition Corp. II,INSU Acquisition  II
INBK,First Internet Bancorp,First Internet Bancorp
INBKL,First Internet Bancorp,First Internet Bancorp
INBKZ,First Internet Bancorp,First Internet Bancorp
INBX,"Inhibrx, Inc.",Inhibrx
INCY,Incyte Corporation,Incyte 
INDB,Independent Bank Corp.,Independent Bank
INDY,iShares S&P India Nifty 50 Index Fund,iShares S&P India Nifty 50 Index Fund
INFI,"Infinity Pharmaceuticals, Inc.",Infinity Pharmaceuticals
INFN,Infinera Corporation,Infinera 
INFO,IHS Markit Ltd.,IHS Markit
INFR,Legg Mason Global Infrastructure ETF,Legg Mason Global Infrastructure ETF
INFY,Infosys Limited,Infosys
ING,"ING Group, N.V.",ING
INGN,"Inogen, Inc",Inogen
INGR,Ingredion Incorporated,Ingredion
INMB,INmune Bio Inc.,INmune Bio
INMD,INMODE LTD.,INMODE LTD
INN,"Summit Hotel Properties, Inc.",Summit Hotel Properties
INN-D,"Summit Hotel Properties, Inc.",Summit Hotel Properties
INN-E,"Summit Hotel Properties, Inc.",Summit Hotel Properties
INO,"Inovio Pharmaceuticals, Inc.",Inovio Pharmaceuticals
INOD,Innodata Inc.,Innodata
INOV,"Inovalon Holdings, Inc.",Inovalon
INPX,Inpixon ,Inpixon
INSE,"Inspired Entertainment, Inc.",Inspired Entertainment
INSG,Inseego Corp.,Inseego
INSI,Insight Select Income Fund,Insight Select Income Fund
INSM,"Insmed, Inc.",Insmed
INSP,"Inspire Medical Systems, Inc.",Inspire Medical Systems
INSU,Insurance Acquisition Corp.,Insurance Acquisition
INSUU,Insurance Acquisition Corp.,Insurance Acquisition
INSUW,Insurance Acquisition Corp.,Insurance Acquisition
INSW,"International Seaways, Inc.",International Seaways
INSW-A,"International Seaways, Inc.",International Seaways
INT,World Fuel Services Corporation,World Fuel Services 
INTC,Intel Corporation,Intel 
INTG,The Intergroup Corporation,The Intergroup 
INTU,Intuit Inc.,Intuit
INVA,"Innoviva, Inc.",Innoviva
INVE,"Identiv, Inc.",Identiv
INVH,Invitation Homes Inc.,Invitation Homes
INWK,"InnerWorkings, Inc.",InnerWorkings
INZY,"Inozyme Pharma, Inc.",Inozyme Pharma
IO,Ion Geophysical Corporation,Ion Geophysical 
IONS,"Ionis Pharmaceuticals, Inc.",Ionis Pharmaceuticals
IOSP,Innospec Inc.,Innospec
IOVA,"Iovance Biotherapeutics, Inc.",Iovance Biotherapeutics
IP,International Paper Company,International Paper
IPAR,"Inter Parfums, Inc.",Inter Parfums
IPDN,"Professional Diversity Network, Inc.",Professional Diversity Network
IPG,"Interpublic Group of Companies, Inc. (The)",Interpublic of Companies
IPGP,IPG Photonics Corporation,IPG Photonics 
IPHA,Innate Pharma S.A.,Innate Pharma
IPHI,Inphi Corporation,Inphi 
IPI,"Intrepid Potash, Inc",Intrepid Potash
IPKW,Invesco International BuyBack Achievers ETF,Invesco International BuyBack Achievers ETF
IPLDP,Interstate Power and Light Company,Interstate Power and Light
IPOB,Social Capital Hedosophia Holdings Corp. II,Social Capital Hedosophia  II
IPOB-U,Social Capital Hedosophia Holdings Corp. II,Social Capital Hedosophia  II
IPOB-WS,Social Capital Hedosophia Holdings Corp. II,Social Capital Hedosophia  II
IPOC,Social Capital Hedosophia Holdings Corp. III,Social Capital Hedosophia  III
IPOC-U,Social Capital Hedosophia Holdings Corp. III,Social Capital Hedosophia  III
IPOC-WS,Social Capital Hedosophia Holdings Corp. III,Social Capital Hedosophia  III
IPV,InterPrivate Acquisition Corp.,InterPrivate Acquisition
IPV-U,InterPrivate Acquisition Corp.,InterPrivate Acquisition
IPV-WS,InterPrivate Acquisition Corp.,InterPrivate Acquisition
IPWR,Ideal Power Inc.,Ideal Power
IQ,"iQIYI, Inc.",iQIYI
IQI,Invesco Quality Municipal Income Trust,Invesco Quality Municipal Income Trust
IQV,"IQVIA Holdings, Inc.",IQVIA
IR,Ingersoll Rand Inc.,Ingersoll Rand
IRBT,iRobot Corporation,iRobot 
IRCP,IRSA Propiedades Comerciales S.A.,IRSA Propiedades Comerciales
IRDM,Iridium Communications Inc,Iridium Communications
IRET,Investors Real Estate Trust,Investors Real Estate Trust
IRET-C,Investors Real Estate Trust,Investors Real Estate Trust
IRIX,IRIDEX Corporation,IRIDEX 
IRL,"New Ireland Fund, Inc. (The)",New Ireland Fund
IRM,Iron Mountain Incorporated,Iron Mountain
IRMD,iRadimed Corporation,iRadimed 
IROQ,"IF Bancorp, Inc.",IF Bancorp
IRR,Voya Natural Resources Equity Income Fund,Voya Natural Resources Equity Income Fund
IRS,IRSA Inversiones Y Representaciones S.A.,IRSA Inversiones Y Representaciones
IRT,"Independence Realty Trust, Inc.",Independence Realty Trust
IRTC,"iRhythm Technologies, Inc.",iRhythm Technologies
IRWD,"Ironwood Pharmaceuticals, Inc.",Ironwood Pharmaceuticals
ISBC,"Investors Bancorp, Inc.",Investors Bancorp
ISD,"PGIM High Yield Bond Fund, Inc.",PGIM High Yield Bond Fund
ISDX,Invesco RAFI Strategic Developed ex-US ETF,Invesco RAFI Strategic Developed ex-US ETF
ISEE,"IVERIC bio, Inc.",IVERIC bio
ISEM,Invesco RAFI Strategic Emerging Markets ETF,Invesco RAFI Strategic Emerging Markets ETF
ISHG,iShares 1-3 Year International Treasury Bond ETF,iShares 1-3 Year International Treasury Bond ETF
ISIG,"Insignia Systems, Inc.",Insignia Systems
ISNS,"Image Sensing Systems, Inc.",Image Sensing Systems
ISRG,"Intuitive Surgical, Inc.",Intuitive Surgical
ISSC,"Innovative Solutions and Support, Inc.",Innovative Solutions and Support
ISTB,iShares Core 1-5 Year USD Bond ETF,iShares Core 1-5 Year USD Bond ETF
ISTR,Investar Holding Corporation,Investar 
IT,"Gartner, Inc.",Gartner
ITACU,"Industrial Tech Acquisitions, Inc.",Industrial Tech Acquisitions
ITCB,Ita? CorpBanca,Ita? CorpBanca
ITCI,Intra-Cellular Therapies Inc.,Intra-Cellular Therapies
ITEQ,BlueStar Israel Technology ETF,BlueStar Israel Technology ETF
ITGR,Integer Holdings Corporation,Integer 
ITI,"Iteris, Inc.",Iteris
ITIC,Investors Title Company,Investors Title
ITMR,Itamar Medical Ltd.,Itamar Medical
ITOS,"iTeos Therapeutics, Inc.",iTeos Therapeutics
ITRI,"Itron, Inc.",Itron
ITRM,Iterum Therapeutics plc,Iterum Therapeutics
ITRN,Ituran Location and Control Ltd.,Ituran Location and Control
ITT,ITT Inc.,ITT
